class,cg21946667,cg06128509,cg15004938,cg01062443,cg23838005
2.0,0.758744,0.0329586,0.803084,0.0782929,0.331518
2.0,0.651947,0.0358822,0.679001,0.100984,0.309546
2.0,0.700095,0.0352281,0.751619,0.0932676,0.258153
2.0,0.700326,0.027574,0.755789,0.101262,0.335994
2.0,0.759985,0.0299459,0.763094,0.0996955,0.323897
2.0,0.783699,0.0553187,0.732713,0.0997613,0.296856
2.0,0.794005,0.0291549,0.723536,0.222024,0.163586
2.0,0.759164,0.0316513,0.744424,0.0978321,0.305638
2.0,0.714178,0.0321199,0.733979,0.111942,0.336905
2.0,0.723329,0.0269614,0.734113,0.0950989,0.295905
2.0,0.768174,0.0539473,0.713309,0.102149,0.282984
2.0,0.768709,0.0355243,0.723428,0.0964088,0.263855
2.0,0.753135,0.0300168,0.750977,0.111451,0.315503
5.0,0.763702,0.0295568,0.707726,0.0912362,0.296262
5.0,0.746769,0.0282051,0.700611,0.0749201,0.248661
5.0,0.803331,0.0337764,0.683402,0.123246,0.274758
5.0,0.796428,0.058899,0.684951,0.0793899,0.27029
5.0,0.744782,0.0351865,0.755016,0.147267,0.372224
5.0,0.824405,0.0280239,0.707904,0.0883787,0.257903
5.0,0.821893,0.0207321,0.742662,0.0785459,0.286529
5.0,0.776093,0.0432683,0.742651,0.111807,0.253921
5.0,0.814903,0.0366566,0.787617,0.0879233,0.278503
5.0,0.79562,0.0347063,0.768389,0.105736,0.303051
5.0,0.765406,0.0373588,0.717867,0.0898978,0.286381
5.0,0.76731,0.0251391,0.737527,0.0913943,0.294662
5.0,0.734984,0.0428258,0.764573,0.0916696,0.311868
5.0,0.80364,0.037068,0.745952,0.113166,0.244505
5.0,0.771556,0.0252588,0.75689,0.116892,0.281098
5.0,0.804661,0.0378337,0.711305,0.118536,0.310095
5.0,0.78659,0.0300567,0.757029,0.0754885,0.337343
5.0,0.758102,0.0280308,0.730901,0.0896937,0.299851
5.0,0.813438,0.0308404,0.743286,0.0927931,0.299455
5.0,0.80474,0.0389114,0.741908,0.126075,0.311148
5.0,0.806497,0.0486538,0.736041,0.0826203,0.315091
5.0,0.778104,0.0399082,0.786074,0.114459,0.274812
5.0,0.831346,0.0234235,0.726538,0.0960657,0.253352
5.0,0.758221,0.0368178,0.784882,0.0743987,0.298138
5.0,0.763285,0.0350756,0.812631,0.130357,0.337383
5.0,0.739328,0.0281478,0.712654,0.0820249,0.280537
5.0,0.783321,0.0207869,0.726026,0.0855256,0.314042
5.0,0.782005,0.0415334,0.792544,0.109187,0.283431
5.0,0.841613,0.0397277,0.73936,0.115543,0.281457
5.0,0.801775,0.026127,0.746933,0.0923168,0.241546
5.0,0.748781,0.0305532,0.712343,0.111486,0.278904
5.0,0.802436,0.026024,0.78703,0.120678,0.325691
5.0,0.815318,0.0298425,0.724697,0.0982648,0.231407
5.0,0.796635,0.0205988,0.744322,0.0595542,0.297102
5.0,0.77811,0.030471,0.753749,0.132846,0.273965
5.0,0.804844,0.0440364,0.703086,0.0951212,0.348122
5.0,0.815817,0.0343522,0.782787,0.10328,0.271962
5.0,0.763355,0.0553725,0.804362,0.118812,0.329029
5.0,0.782818,0.0325716,0.706185,0.119075,0.289818
5.0,0.814877,0.0230274,0.718175,0.0859665,0.250995
5.0,0.767011,0.0293909,0.716446,0.1125,0.304688
5.0,0.763424,0.0310711,0.727904,0.151198,0.279458
5.0,0.805524,0.0327221,0.692516,0.0644348,0.271575
5.0,0.796265,0.0352961,0.787571,0.117779,0.288484
5.0,0.758352,0.0283892,0.752756,0.11261,0.309501
5.0,0.789117,0.029078,0.767402,0.0943771,0.398014
5.0,0.770178,0.0296492,0.737187,0.0777207,0.286903
5.0,0.79489,0.0283478,0.774484,0.0833245,0.268783
5.0,0.816799,0.0253973,0.704513,0.121726,0.270759
5.0,0.791962,0.0375447,0.729843,0.0754915,0.288427
5.0,0.815332,0.0298236,0.770779,0.138733,0.358922
5.0,0.767653,0.0308198,0.745986,0.0969093,0.346618
5.0,0.77834,0.037799,0.731381,0.0779203,0.315444
5.0,0.800095,0.0259199,0.723332,0.0825196,0.312904
5.0,0.819493,0.0286704,0.765989,0.0993332,0.291618
5.0,0.815754,0.0465756,0.717557,0.0617228,0.260827
5.0,0.795661,0.0366364,0.685272,0.110398,0.250514
5.0,0.787199,0.0220478,0.726388,0.0729995,0.219812
5.0,0.81997,0.0268404,0.683215,0.0959247,0.284017
5.0,0.826727,0.0522975,0.752281,0.0736627,0.273729
5.0,0.790155,0.0318137,0.743148,0.11905,0.265129
5.0,0.804412,0.0534995,0.761203,0.13108,0.308779
5.0,0.751391,0.0222401,0.737752,0.124761,0.275185
5.0,0.800297,0.0245454,0.739077,0.0948282,0.309729
5.0,0.826175,0.0449351,0.71505,0.0960259,0.242304
5.0,0.801023,0.0440279,0.754635,0.0960225,0.271571
5.0,0.812056,0.031173,0.737944,0.116728,0.301484
5.0,0.830405,0.0406014,0.77038,0.141465,0.251144
5.0,0.753672,0.0369177,0.771522,0.0660341,0.294392
5.0,0.77747,0.0392834,0.743868,0.096768,0.254726
5.0,0.793508,0.0344494,0.771839,0.116423,0.333234
5.0,0.809193,0.034886,0.737256,0.102969,0.299134
5.0,0.803984,0.0232374,0.696687,0.069986,0.258568
5.0,0.779213,0.0264857,0.723062,0.121988,0.263881
5.0,0.794957,0.0293824,0.716021,0.121799,0.347771
5.0,0.806792,0.0367003,0.718762,0.103634,0.263928
5.0,0.808224,0.0239202,0.736112,0.084718,0.292826
5.0,0.844502,0.0502799,0.753639,0.144953,0.29157
5.0,0.833135,0.0247479,0.728481,0.113235,0.333229
5.0,0.796805,0.027248,0.715401,0.0789266,0.26025
5.0,0.829611,0.0308953,0.728093,0.139005,0.299882
5.0,0.755829,0.0401459,0.764088,0.0955716,0.286791
5.0,0.81179,0.0275556,0.724271,0.1073,0.29851
5.0,0.798249,0.0253752,0.777042,0.133386,0.300822
5.0,0.807396,0.0246357,0.775486,0.0649172,0.274289
5.0,0.805594,0.0512258,0.727999,0.114382,0.27489
5.0,0.806444,0.032705,0.698427,0.103119,0.212211
5.0,0.830515,0.0345875,0.692848,0.0719038,0.271889
3.0,0.699048,0.0395616,0.791834,0.116009,0.328518
3.0,0.773589,0.0425274,0.747948,0.0661024,0.2594
3.0,0.731926,0.0251852,0.748653,0.0760633,0.395312
3.0,0.680489,0.036894,0.745475,0.119198,0.291403
3.0,0.805588,0.048616,0.778389,0.154783,0.2728
3.0,0.715887,0.0311745,0.798636,0.118341,0.368656
6.0,0.777631,0.0280606,0.631187,0.0927077,0.280002
6.0,0.78377,0.0338922,0.738872,0.131373,0.267817
6.0,0.79625,0.0311744,0.730149,0.0973683,0.287555
6.0,0.711408,0.0400976,0.758159,0.0984551,0.311765
6.0,0.80753,0.0278728,0.736865,0.0926088,0.248146
6.0,0.811887,0.0234257,0.777516,0.084257,0.197825
6.0,0.763824,0.0290681,0.725443,0.0931253,0.347158
6.0,0.727643,0.0411048,0.759427,0.0956751,0.351088
6.0,0.731159,0.0380799,0.74252,0.0965679,0.296717
6.0,0.775664,0.0385978,0.757997,0.104342,0.338196
6.0,0.7895,0.0315646,0.747692,0.12556,0.347727
6.0,0.770827,0.0325818,0.700914,0.123703,0.300584
6.0,0.712512,0.0464955,0.729013,0.152372,0.338099
6.0,0.814073,0.0391365,0.739293,0.0837971,0.292776
6.0,0.731371,0.0377792,0.82015,0.128553,0.310199
6.0,0.767145,0.019835,0.721648,0.0787324,0.307746
6.0,0.782794,0.0286921,0.783112,0.132093,0.256329
