class,cg06385324,cg03068376,cg26864230,cg09545123,cg09007236
-1.0,0.0587441,0.0325291,0.0230776,0.077806,0.0306975
-1.0,0.0234434,0.0421161,0.0214465,0.0488842,0.0326533
-1.0,0.0223783,0.0258299,0.0227332,0.0383584,0.0265156
-1.0,0.0248959,0.038815,0.0276986,0.033186,0.0281198
-1.0,0.0272776,0.0289374,0.0332811,0.0505409,0.03283
-1.0,0.0410529,0.0280613,0.0296311,0.0495904,0.0265667
-1.0,0.0321593,0.0360175,0.0283416,0.0441694,0.0322981
-1.0,0.0208281,0.0248118,0.0238935,0.0447282,0.0197767
-1.0,0.0179287,0.0319766,0.0194469,0.049316,0.0362817
-1.0,0.0346921,0.0281882,0.01925,0.0228163,0.0222597
-1.0,0.0158423,0.0280999,0.0445235,0.0392694,0.0318993
-1.0,0.0304908,0.028349,0.0367069,0.042953,0.0391009
-1.0,0.0248974,0.0367416,0.0243562,0.0307021,0.0277003
-1.0,0.0481621,0.0214182,0.0163116,0.0334992,0.0278024
-1.0,0.0225593,0.0341883,0.0281649,0.0397588,0.032926
-1.0,0.0351111,0.0362224,0.0371898,0.0428101,0.0494255
-1.0,0.0266542,0.0265766,0.0286205,0.0462084,0.0270749
-1.0,0.0228841,0.0342282,0.0259675,0.042588,0.0262775
-1.0,0.0187683,0.0229074,0.0286407,0.0377828,0.0215888
-1.0,0.027507,0.0330515,0.0232863,0.0328975,0.024323
-1.0,0.0273202,0.0341348,0.0239421,0.0340596,0.0279742
-1.0,0.0297906,0.0375382,0.0220874,0.0222134,0.0404701
-1.0,0.0525754,0.0383981,0.0294674,0.0416414,0.0533934
-1.0,0.0355776,0.0379155,0.0301136,0.0497392,0.0420243
-1.0,0.0317839,0.0299968,0.0236342,0.0420199,0.0316345
-1.0,0.0414139,0.026603,0.0296528,0.0396564,0.0401115
-1.0,0.0296855,0.0351482,0.0245686,0.0379541,0.0533872
-1.0,0.0268755,0.0368522,0.0196251,0.0494089,0.0314619
-1.0,0.0482964,0.0344719,0.0287726,0.0397527,0.0389513
-1.0,0.0542536,0.0320164,0.0832637,0.0447131,0.0392387
-1.0,0.0280619,0.0317368,0.0277584,0.0489396,0.0497989
-1.0,0.0275502,0.0326802,0.0315038,0.0406309,0.0325978
-1.0,0.0351297,0.0337975,0.0280655,0.0383244,0.0279443
-1.0,0.0253343,0.0249686,0.0279654,0.0366157,0.0286891
-1.0,0.0272507,0.0270412,0.0188253,0.0628331,0.0223755
-1.0,0.0354824,0.0334041,0.0461287,0.0456754,0.0416278
-1.0,0.0373388,0.034365,0.038759,0.0594474,0.0325723
-1.0,0.0280175,0.030341,0.0235755,0.0413595,0.0356153
-1.0,0.0219405,0.0277639,0.0268752,0.0397392,0.0255807
-1.0,0.0323849,0.0282482,0.0357299,0.0345101,0.0296362
-1.0,0.0343768,0.0271473,0.0282973,0.0307151,0.0241761
-1.0,0.0306917,0.0286322,0.0222327,0.0327799,0.0342859
-1.0,0.0309735,0.0319176,0.0241976,0.0409767,0.0286465
-1.0,0.0200754,0.0270883,0.0275496,0.0347943,0.0242972
-1.0,0.0403722,0.0266565,0.0259608,0.0385657,0.0206203
-1.0,0.0313355,0.0398489,0.0329075,0.0434909,0.0336641
-1.0,0.0475731,0.0395155,0.0269568,0.0680905,0.0512782
-1.0,0.0385275,0.0375393,0.0366581,0.0407672,0.0251408
-1.0,0.0280258,0.0311252,0.0227994,0.0372584,0.0287355
-1.0,0.0310823,0.0285327,0.0269234,0.0265367,0.020872
-1.0,0.0632655,0.0284585,0.0209545,0.0363955,0.0298077
-1.0,0.040361,0.0415307,0.0283603,0.0438369,0.0494855
-1.0,0.0467043,0.0395712,0.0276167,0.0803394,0.026105
-1.0,0.0325904,0.0289708,0.0206233,0.0296587,0.0371557
-1.0,0.0430948,0.0354667,0.0190476,0.044406,0.0277579
-1.0,0.0338208,0.0251558,0.030527,0.0308909,0.0303756
-1.0,0.0372422,0.0346253,0.040034,0.0407779,0.0369972
-1.0,0.0244462,0.0264057,0.0216711,0.0360248,0.0339316
-1.0,0.0244654,0.034831,0.0328255,0.0422549,0.0207465
-1.0,0.0327808,0.032865,0.030365,0.0449836,0.0366604
-1.0,0.0377454,0.0431876,0.016334,0.0300253,0.0237902
